title	genres	movieId	avg_movie_rating	rating_count	rating_std	release_year	genre_count	no_genre	genre_Action	genre_Adventure	genre_Animation	genre_Children	genre_Comedy	genre_Crime	genre_Documentary	genre_Drama	genre_Fantasy	genre_Film-Noir	genre_Horror	genre_IMAX	genre_Musical	genre_Mystery	genre_Romance	genre_Sci-Fi	genre_Thriller	genre_War	genre_Western
Dead Presidents (1995)	Action|Crime|Drama	42	3.05513	2467	0.942379	1995	3	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Restoration (1995)	Drama	43	3.46866	2553	0.930899	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Mortal Kombat (1995)	Action|Adventure|Fantasy	44	2.65387	10697	1.12232	1995	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
To Die For (1995)	Comedy|Drama|Thriller	45	3.38436	8933	0.96354	1995	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
How to Make an American Quilt (1995)	Drama|Romance	46	3.27488	3205	0.971878	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Seven (a.k.a. Se7en) (1995)	Mystery|Thriller	47	4.05349	43249	0.87028	1995	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Pocahontas (1995)	Animation|Children|Drama|Musical|Romance	48	2.94628	13048	1.05526	1995	5	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
When Night Is Falling (1995)	Drama|Romance	49	3.58475	236	1.05952	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Usual Suspects, The (1995)	Crime|Mystery|Thriller	50	4.33437	47006	0.756783	1995	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
Guardian Angel (1994)	Action|Drama|Thriller	51	2.55556	27	1.20363	1994	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Mighty Aphrodite (1995)	Comedy|Drama|Romance	52	3.5412	9321	0.916625	1995	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Lamerica (1994)	Adventure|Drama	53	3.69667	150	1.04576	1994	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Big Green, The (1995)	Children|Comedy	54	2.8546	956	1.08188	1995	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia (1995)	Drama	55	3.24121	939	0.993108	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Kids of the Round Table (1995)	Adventure|Children|Fantasy	56	1.87143	70	1.1847	1995	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Home for the Holidays (1995)	Drama	57	3.32452	2439	0.948185	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Postman, The (Postino, Il) (1994)	Comedy|Drama|Romance	58	3.9784	11549	0.96206	1994	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Confessional, The (Confessionnal, Le) (1995)	Drama|Mystery	59	3.56021	191	1.12404	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Indian in the Cupboard, The (1995)	Adventure|Children|Fantasy	60	3.11445	6313	0.998023	1995	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eye for an Eye (1996)	Drama|Thriller	61	3.3231	2281	0.999204	1996	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Mr. Holland's Opus (1995)	Drama	62	3.73182	19381	0.978547	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	Comedy|Crime	63	3.06662	2334	1.18894	1996	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Two if by Sea (1996)	Comedy|Romance	64	2.82982	2086	0.994249	1996	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bio-Dome (1996)	Comedy	65	2.39422	4864	1.19804	1996	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lawnmower Man 2: Beyond Cyberspace (1996)	Action|Sci-Fi|Thriller	66	2.14424	2371	1.14261	1996	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Two Bits (1995)	Drama	67	3.35	170	1.15494	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
French Twist (Gazon maudit) (1995)	Comedy|Romance	68	3.437	1238	0.946459	1995	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Friday (1995)	Comedy	69	3.56004	4289	1.02758	1995	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
From Dusk Till Dawn (1996)	Action|Comedy|Horror|Thriller	70	3.27745	12712	1.0673	1996	4	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Fair Game (1995)	Action	71	2.35521	1295	1.08617	1995	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kicking and Screaming (1995)	Comedy|Drama	72	3.50244	1230	1.04164	1995	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Misérables, Les (1995)	Drama|War	73	3.80683	2956	1.03961	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Bed of Roses (1996)	Drama|Romance	74	3.30222	3514	1.00724	1996	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Big Bully (1996)	Comedy|Drama	75	2.46237	558	1.18996	1996	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Screamers (1995)	Action|Sci-Fi|Thriller	76	3.00902	3380	1.007	1995	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Nico Icon (1995)	Documentary	77	3.42986	221	1.02284	1995	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Crossing Guard, The (1995)	Action|Crime|Drama|Thriller	78	3.18067	1226	0.917286	1995	4	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
Juror, The (1996)	Drama|Thriller	79	3.12855	5535	0.965692	1996	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
White Balloon, The (Badkonake sefid) (1995)	Children|Drama	80	3.72435	575	1.06991	1995	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Things to Do in Denver When You're Dead (1995)	Crime|Drama|Romance	81	3.26737	3209	0.998377	1995	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
Antonia's Line (Antonia) (1995)	Comedy|Drama	82	4.00493	2538	0.99589	1995	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Once Upon a Time... When We Were Colored (1995)	Drama|Romance	83	3.6532	594	1.00342	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Last Summer in the Hamptons (1995)	Comedy|Drama	84	3.41772	158	1.05857	1995	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Angels and Insects (1995)	Drama|Romance	85	3.53113	2714	1.00636	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
White Squall (1996)	Action|Adventure|Drama	86	3.48352	4309	0.924912	1996	3	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Dunston Checks In (1996)	Children|Comedy	87	2.36131	977	1.11687	1996	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Black Sheep (1996)	Comedy	88	3.10763	4864	1.04243	1996	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nick of Time (1995)	Action|Thriller	89	3.13982	3247	0.882765	1995	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Journey of August King, The (1995)	Drama	90	3.35748	214	1.15653	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Mary Reilly (1996)	Drama|Horror|Thriller	92	2.8541	2303	1.00054	1996	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Vampire in Brooklyn (1995)	Comedy|Horror|Romance	93	2.52874	1966	1.05332	1995	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Beautiful Girls (1996)	Comedy|Drama|Romance	94	3.52692	4030	0.905203	1996	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Broken Arrow (1996)	Action|Adventure|Thriller	95	3.09464	22104	0.954467	1996	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
In the Bleak Midwinter (1995)	Comedy|Drama	96	3.68737	483	1.0558	1995	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hate (Haine, La) (1995)	Crime|Drama	97	3.99643	1963	0.905999	1995	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Shopping (1994)	Action|Thriller	98	2.48765	81	1.02462	1994	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Heidi Fleiss: Hollywood Madam (1995)	Documentary	99	3.10537	726	1.19838	1995	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
City Hall (1996)	Drama|Thriller	100	3.22139	4115	0.800889	1996	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Bottle Rocket (1996)	Adventure|Comedy|Crime|Romance	101	3.7863	4298	0.886241	1996	4	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Mr. Wrong (1996)	Comedy	102	2.42947	1992	1.05114	1996	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unforgettable (1996)	Mystery|Sci-Fi|Thriller	103	3.2692	1133	0.967171	1996	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
Happy Gilmore (1996)	Comedy	104	3.41708	17915	1.06229	1996	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bridges of Madison County, The (1995)	Drama|Romance	105	3.32642	9621	1.12997	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Nobody Loves Me (Keiner liebt mich) (1994)	Comedy|Drama	106	3.44403	134	1.47238	1994	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Muppet Treasure Island (1996)	Adventure|Children|Comedy|Musical	107	3.21534	6376	1.05078	1996	4	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Catwalk (1996)	Documentary	108	3.092	125	1.35359	1996	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Headless Body in Topless Bar (1995)	Comedy|Drama|Thriller	109	2.0625	16	1.42449	1995	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Braveheart (1995)	Action|Drama|War	110	4.04253	53772	0.955031	1995	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Taxi Driver (1976)	Crime|Drama|Thriller	111	4.11053	24483	0.849067	1976	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
Rumble in the Bronx (Hont faan kui) (1995)	Action|Adventure|Comedy|Crime	112	3.41257	11890	0.947009	1995	4	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Before and After (1996)	Drama|Mystery	113	3.10927	1089	0.899855	1996	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Margaret's Museum (1995)	Drama	114	3.61943	247	0.963198	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)	Comedy	115	3.40789	38	1.25663	1995	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anne Frank Remembered (1995)	Documentary	116	3.9373	949	1.06884	1995	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Young Poisoner's Handbook, The (1995)	Crime|Drama	117	3.5894	1264	0.950225	1995	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
If Lucy Fell (1996)	Comedy|Romance	118	3.011	1136	1.05305	1996	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Steal Big, Steal Little (1995)	Comedy	119	2.77273	264	1.10969	1995	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Race the Sun (1996)	Adventure|Comedy|Drama	120	2.88095	147	1.1124	1996	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Boys of St. Vincent, The (1992)	Drama	121	3.75329	837	0.915904	1992	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Boomerang (1992)	Comedy|Romance	122	2.86767	3888	0.935007	1992	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Chungking Express (Chung Hing sam lam) (1994)	Drama|Mystery|Romance	123	3.96925	2309	0.960511	1994	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
Star Maker, The (Uomo delle stelle, L') (1995)	Drama	124	3.49843	319	1.14547	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Flirting With Disaster (1996)	Comedy	125	3.75569	3518	0.920305	1996	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NeverEnding Story III, The (1994)	Adventure|Children|Fantasy	126	2.31214	1376	1.1923	1994	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Silences of the Palace, The (Saimt el Qusur) (1994)	Drama	127	3.2561	41	1.13535	1994	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Jupiter's Wife (1994)	Documentary	128	3.5	75	1.08429	1994	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pie in the Sky (1996)	Comedy|Romance	129	3.16316	190	1.12674	1996	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Angela (1995)	Drama	130	3.11538	39	1.28995	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Frankie Starlight (1995)	Drama|Romance	131	3.29124	194	0.875087	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Jade (1995)	Thriller	132	2.77425	2124	0.984573	1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Nueba Yol (1995)	Comedy|Drama	133	2.60526	19	1.16164	1995	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sonic Outlaws (1995)	Documentary	134	3.65278	36	1.36706	1995	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Down Periscope (1996)	Comedy	135	2.99802	6305	1.05034	1996	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
From the Journals of Jean Seberg (1995)	Documentary	136	3.54902	102	1.32289	1995	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Man of the Year (1995)	Documentary	137	3.2854	226	1.18198	1995	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Neon Bible, The (1995)	Drama	138	3.28467	137	1.23936	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Target (1995)	Action|Drama	139	3.07317	41	0.952372	1995	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Up Close and Personal (1996)	Drama|Romance	140	3.29381	5073	0.993008	1996	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Birdcage, The (1996)	Comedy	141	3.51224	22021	0.97154	1996	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shadows (Cienie) (1988)	Drama	142	3.06098	41	1.2359	1988	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gospa (1995)	Drama	143	2.14286	14	1.46009	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Brothers McMullen, The (1995)	Comedy	144	3.47714	4505	0.935491	1995	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bad Boys (1995)	Action|Comedy|Crime|Drama|Thriller	145	3.25077	11975	0.97282	1995	5	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0
Amazing Panda Adventure, The (1995)	Adventure|Children	146	2.91207	580	1.09561	1995	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Basketball Diaries, The (1995)	Drama	147	3.58293	4118	0.928384	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Awfully Big Adventure, An (1995)	Drama	148	2.88936	357	1.03299	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Amateur (1994)	Crime|Drama|Thriller	149	3.69432	1091	0.966553	1994	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
Apollo 13 (1995)	Adventure|Drama|IMAX	150	3.86863	47781	0.850945	1995	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rob Roy (1995)	Action|Drama|Romance|War	151	3.53904	12616	0.937357	1995	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
Addiction, The (1995)	Drama|Horror	152	3.10445	651	1.17106	1995	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Batman Forever (1995)	Action|Adventure|Comedy|Crime	153	2.89473	32867	0.949923	1995	4	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Beauty of the Day (Belle de jour) (1967)	Drama	154	3.80173	3011	0.923868	1967	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Beyond Rangoon (1995)	Adventure|Drama|War	155	3.40792	1276	0.984957	1995	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Blue in the Face (1995)	Comedy|Drama	156	3.52796	1663	0.960548	1995	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Canadian Bacon (1995)	Comedy|War	157	2.78467	2596	1.03617	1995	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Casper (1995)	Adventure|Children	158	2.93216	12626	1.0142	1995	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clockers (1995)	Crime|Drama|Mystery	159	3.41695	2366	0.860191	1995	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
Congo (1995)	Action|Adventure|Mystery|Sci-Fi	160	2.60474	14965	1.02213	1995	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Crimson Tide (1995)	Drama|Thriller|War	161	3.7442	23628	0.822272	1995	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
Crumb (1994)	Documentary	162	4.00992	5995	0.958138	1994	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Desperado (1995)	Action|Romance|Western	163	3.44539	14321	0.944415	1995	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Devil in a Blue Dress (1995)	Crime|Film-Noir|Mystery|Thriller	164	3.46371	4436	0.831409	1995	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
